iter	Passed	Remaining
410	5171	7410
411	5182	7396
412	5192	7379
413	5202	7363
414	5211	7346
415	5221	7329
416	5230	7313
417	5239	7295
418	5253	7284
419	5264	7269
420	5274	7253
421	5285	7239
422	5297	7225
423	5309	7213
424	5320	7198
425	5332	7184
426	5344	7171
427	5355	7157
428	5371	7148
429	5383	7136
430	5397	7125
431	5410	7113
432	5422	7100
433	5435	7088
434	5448	7077
435	5462	7065
436	5476	7056
437	5489	7043
438	5502	7031
439	5515	7020
440	5529	7009
441	5542	6997
442	5556	6986
443	5570	6975
444	5582	6962
445	5596	6951
446	5608	6938
447	5622	6927
448	5635	6915
449	5648	6904
450	5661	6892
451	5674	6879
452	5687	6867
453	5701	6856
454	5715	6845
455	5728	6834
456	5741	6821
457	5753	6808
458	5766	6796
459	5779	6784
460	5792	6772
461	5805	6760
462	5817	6746
463	5830	6735
464	5844	6724
465	5856	6711
466	5868	6697
467	5880	6684
468	5895	6674
469	5907	6661
470	5920	6649
471	5932	6636
472	5945	6624
473	5958	6612
474	5970	6599
475	5984	6587
476	5997	6575
477	6011	6565
478	6025	6553
479	6039	6542
480	6055	6533
481	6068	6521
482	6080	6509
483	6094	6497
484	6107	6484
485	6121	6474
486	6135	6463
487	6148	6450
488	6162	6439
489	6173	6425
490	6186	6413
491	6200	6401
492	6212	6388
493	6225	6376
494	6237	6363
495	6248	6349
496	6259	6334
497	6269	6319
498	6279	6304
499	6288	6288
500	6298	6273
501	6309	6258
502	6319	6244
503	6329	6228
504	6338	6213
505	6348	6198
506	6359	6183
507	6370	6169
508	6382	6156
509	6393	6142
510	6402	6127
511	6413	6112
512	6423	6098
513	6434	6083
514	6447	6071
515	6478	6077
516	6492	6065
517	6505	6053
518	6517	6040
519	6532	6030
520	6545	6017
521	6560	6007
522	6598	6018
523	6610	6004
524	6623	5992
525	6635	5979
526	6645	5964
527	6655	5949
528	6665	5934
529	6674	5918
530	6684	5904
531	6693	5888
532	6703	5873
533	6713	5858
534	6722	5842
535	6732	5828
536	6742	5813
537	6751	5798
538	6761	5782
539	6769	5766
540	6780	5752
541	6789	5736
542	6799	5722
543	6809	5708
544	6820	5694
545	6833	5681
546	6845	5669
547	6856	5655
548	6868	5642
549	6881	5630
550	6895	5619
551	6907	5606
552	6919	5592
553	6932	5581
554	6945	5569
555	6959	5557
556	6971	5544
557	6983	5531
558	6995	5518
559	7007	5506
560	7021	5494
561	7034	5482
562	7048	5470
563	7060	5458
564	7073	5446
565	7087	5434
566	7102	5423
567	7116	5412
568	7129	5400
569	7142	5387
570	7155	5375
571	7168	5363
572	7181	5351
573	7192	5338
574	7205	5325
575	7218	5313
576	7232	5302
577	7247	5291
578	7260	5279
579	7273	5266
580	7287	5255
581	7301	5243
582	7316	5233
583	7331	5222
584	7344	5210
585	7358	5199
586	7373	5187
587	7388	5177
588	7402	5165
589	7416	5153
590	7445	5152
591	7459	5141
592	7473	5129
593	7486	5116
594	7501	5105
595	7514	5093
596	7526	5080
597	7540	5068
598	7553	5056
599	7565	5043
600	7579	5031
601	7592	5019
602	7605	5006
603	7617	4994
604	7631	4982
605	7643	4969
606	7656	4956
607	7670	4945
608	7681	4931
609	7693	4918
610	7706	4906
611	7719	4894
612	7733	4882
613	7746	4870
614	7760	4858
615	7771	4844
616	7785	4832
617	7798	4820
618	7810	4807
619	7822	4794
620	7835	4782
621	7848	4769
622	7862	4757
623	7875	4745
624	7888	4733
625	7901	4720
626	7914	4708
627	7927	4695
628	7941	4683
629	7953	4671
630	7966	4658
631	7978	4645
632	7992	4633
633	8004	4621
634	8018	4609
635	8031	4596
636	8045	4584
637	8059	4572
638	8072	4560
639	8086	4548
640	8098	4535
641	8111	4523
642	8124	4510
643	8138	4499
644	8151	4486
645	8164	4473
646	8176	4461
647	8191	4449
648	8205	4438
649	8219	4426
650	8234	4414
651	8246	4401
652	8259	4389
653	8273	4377
654	8287	4365
655	8300	4352
656	8315	4341
657	8329	4329
658	8345	4318
659	8357	4305
660	8370	4292
661	8383	4280
662	8397	4268
663	8410	4256
664	8423	4243
665	8438	4231
666	8452	4219
667	8467	4208
668	8514	4212
669	8529	4201
670	8562	4198
671	8577	4186
672	8591	4174
673	8606	4162
674	8622	4151
675	8637	4139
676	8650	4127
677	8667	4116
678	8683	4105
679	8696	4092
680	8710	4080
681	8723	4067
682	8736	4054
683	8750	4042
684	8763	4030
685	8776	4017
686	8789	4004
687	8819	3999
688	8832	3986
689	8844	3973
690	8857	3960
691	8870	3948
692	8884	3935
693	8897	3923
694	8910	3910
695	8923	3897
696	8935	3884
697	8949	3871
698	8962	3859
699	8974	3846
700	8987	3833
701	9012	3825
702	9025	3812
703	9038	3800
704	9051	3787
705	9064	3774
706	9078	3762
707	9091	3749
708	9103	3736
709	9114	3722
710	9128	3710
711	9141	3697
712	9155	3685
713	9168	3672
714	9180	3659
715	9192	3646
716	9205	3633
717	9218	3620
718	9230	3607
719	9243	3594
720	9271	3587
721	9282	3573
722	9291	3559
723	9301	3545
724	9310	3531
725	9322	3518
726	9333	3504
727	9343	3490
728	9353	3477
729	9365	3463
730	9377	3450
731	9389	3437
732	9403	3425
733	9415	3412
734	9444	3405
735	9457	3392
736	9468	3378
737	9478	3365
738	9487	3350
739	9498	3337
740	9508	3323
741	9517	3309
742	9527	3295
743	9536	3281
744	9545	3267
745	9555	3253
746	9564	3239
747	9575	3225
748	9584	3211
749	9594	3198
750	9604	3184
751	9614	3170
752	9625	3157
753	9634	3143
754	9644	3129
755	9653	3115
756	9662	3101
757	9672	3087
758	9681	3074
759	9691	3060
760	9700	3046
761	9710	3032
762	9723	3020
763	9736	3007
764	9748	2994
765	9760	2981
766	9775	2969
767	9788	2956
768	9801	2944
769	9814	2931
770	9830	2919
771	9842	2906
772	9855	2894
773	9868	2881
774	9882	2868
775	9894	2856
776	9906	2843
777	9920	2830
778	9934	2818
779	9947	2805
780	9959	2792
781	9972	2780
782	9985	2767
783	9997	2754
784	10008	2741
785	10020	2728
786	10030	2714
787	10042	2701
788	10052	2688
789	10063	2674
790	10074	2661
791	10085	2648
792	10097	2635
793	10127	2627
794	10141	2615
795	10155	2602
796	10167	2589
797	10180	2576
798	10193	2564
799	10206	2551
800	10218	2538
801	10230	2525
802	10242	2512
803	10256	2500
804	10271	2488
805	10285	2475
806	10296	2462
807	10308	2449
808	10321	2436
809	10336	2424
810	10350	2412
811	10363	2399
812	10378	2387
813	10390	2374
814	10403	2361
815	10417	2349
816	10430	2336
817	10443	2323
818	10457	2311
819	10469	2298
820	10482	2285
821	10496	2272
822	10509	2260
823	10522	2247
824	10535	2234
825	10550	2222
826	10563	2209
827	10576	2197
828	10591	2184
829	10604	2172
830	10617	2159
831	10629	2146
832	10644	2133
833	10656	2121
834	10669	2108
835	10682	2095
836	10697	2083
837	10710	2070
838	10727	2058
839	10740	2045
840	10757	2033
841	10773	2021
842	10788	2009
843	10802	1996
844	10814	1983
845	10827	1970
846	10841	1958
847	10857	1946
848	10872	1933
849	10903	1924
850	10918	1911
851	10933	1899
852	10949	1887
853	10968	1875
854	10985	1862
855	11000	1850
856	11015	1838
857	11030	1825
858	11044	1812
859	11057	1800
860	11071	1787
861	11085	1774
862	11099	1762
863	11114	1749
864	11129	1737
865	11144	1724
866	11158	1711
867	11175	1699
868	11190	1687
869	11205	1674
870	11218	1661
871	11233	1648
872	11249	1636
873	11266	1624
874	11284	1612
875	11301	1599
876	11319	1587
877	11336	1575
878	11352	1562
879	11366	1549
880	11381	1537
881	11396	1524
882	11411	1512
883	11431	1500
884	11447	1487
885	11462	1474
886	11477	1462
887	11505	1451
888	11522	1438
889	11540	1426
890	11556	1413
891	11576	1401
892	11592	1389
893	11610	1376
894	11627	1364
895	11644	1351
896	11661	1339
897	11679	1326
898	11697	1314
899	11713	1301
900	11730	1288
901	11750	1276
902	11767	1264
903	11784	1251
904	11800	1238
905	11817	1226
906	11831	1213
907	11845	1200
908	11859	1187
909	11874	1174
910	11887	1161
911	11901	1148
912	11915	1135
913	11930	1122
914	11944	1109
915	11958	1096
916	11973	1083
917	11987	1070
918	12003	1057
919	12019	1045
920	12033	1032
921	12048	1019
922	12064	1006
923	12080	993
924	12096	980
925	12112	967
926	12127	954
927	12142	942
928	12157	929
929	12171	916
930	12185	903
931	12199	890
932	12213	877
933	12228	864
934	12243	851
935	12259	838
936	12276	825
937	12292	812
938	12307	799
939	12323	786
940	12339	773
941	12356	760
942	12372	747
943	12387	734
944	12405	722
945	12420	709
946	12439	696
947	12455	683
948	12472	670
949	12488	657
950	12505	644
951	12523	631
952	12541	618
953	12560	605
954	12576	592
955	12594	579
956	12611	566
957	12627	553
958	12642	540
959	12655	527
960	12670	514
961	12684	501
962	12699	487
963	12713	474
964	12759	462
965	12773	449
966	12788	436
967	12802	423
968	12815	409
969	12831	396
970	12845	383
971	12860	370
972	12876	357
973	12891	344
974	12906	330
975	12938	318
976	12953	304
977	12970	291
978	12986	278
979	13001	265
980	13016	252
981	13030	238
982	13045	225
983	13059	212
984	13075	199
985	13089	185
986	13104	172
987	13122	159
988	13136	146
989	13152	132
990	13168	119
991	13185	106
992	13200	93
993	13215	79
994	13231	66
995	13247	53
996	13263	39
997	13280	26
998	13297	13
999	13312	0
