iter	Logloss
0	0.6777874004
1	0.6629330584
2	0.6490283341
3	0.6368205566
4	0.6246766017
5	0.6131462435
6	0.6026315044
7	0.5931461771
8	0.5829939993
9	0.5738046365
10	0.5645732616
11	0.5561773158
12	0.5483310686
13	0.5408082824
14	0.5339378818
15	0.52766926
16	0.5213333423
17	0.5155395199
18	0.5104711982
19	0.5064071154
20	0.5013395666
21	0.4969064959
22	0.4921943282
23	0.4880264173
24	0.4842123382
25	0.4805731713
26	0.4775116342
27	0.4743956082
28	0.4711024286
29	0.4679469681
30	0.4655998899
31	0.4630212653
32	0.4603353751
33	0.458097537
34	0.4557452955
35	0.4533371208
36	0.4513034385
37	0.4493530398
38	0.4473439469
39	0.4453251039
40	0.443386171
41	0.4417123009
42	0.4401883554
43	0.4386034921
44	0.4369904683
45	0.4355092576
46	0.4339841259
47	0.4324977695
48	0.4310782719
49	0.4298291983
50	0.4287536956
51	0.4276292667
52	0.4265474061
53	0.4254050184
54	0.4245258767
55	0.4235429533
56	0.4227215306
57	0.4219017971
58	0.42098982
59	0.4202107971
60	0.4193269455
61	0.4185515023
62	0.4178140708
63	0.4172107363
64	0.4165285655
65	0.415735321
66	0.4151054782
67	0.4144049278
68	0.4137149047
69	0.4130471175
70	0.4123345968
71	0.4116818342
72	0.4109247582
73	0.4104378388
74	0.4098820276
75	0.4094682832
76	0.4087346907
77	0.4081366303
78	0.4075617315
79	0.4071139245
80	0.4065327621
81	0.406057058
82	0.4055085032
83	0.4051432594
84	0.4047023978
85	0.404189973
86	0.4037611061
87	0.4033101912
88	0.4029395091
89	0.4024588159
90	0.4019953802
91	0.4015591541
92	0.401065829
93	0.4006224342
94	0.4001724539
95	0.3998435627
96	0.3994981182
97	0.3991721571
98	0.398728865
99	0.3983458923
100	0.398043831
101	0.397919321
102	0.3975386287
103	0.3972615945
104	0.3969372579
105	0.396625551
106	0.3962578016
107	0.3959971163
108	0.3957686225
109	0.3954863009
110	0.3952310318
111	0.3949187114
112	0.3947153941
113	0.3944348132
114	0.3942849818
115	0.393987926
116	0.3936122602
117	0.3934312925
118	0.393109759
119	0.3928386514
120	0.3925119598
121	0.3921161925
122	0.3918501861
123	0.3915420368
124	0.391313858
125	0.3910839802
126	0.3908033958
127	0.3905012931
128	0.3902969665
129	0.3901267526
130	0.389867793
131	0.389692067
132	0.3894606946
133	0.3891479605
134	0.3888487746
135	0.3885644146
136	0.3884133706
137	0.3881561823
138	0.3878766434
139	0.3875457827
140	0.3873446935
141	0.3871246055
142	0.3869065002
143	0.3866887153
144	0.3863849535
145	0.3861795277
146	0.3859134099
147	0.3855492424
148	0.3853540037
149	0.3851864505
150	0.3849572953
151	0.3847998627
152	0.3846038844
153	0.3844399498
154	0.3842788414
155	0.3841109387
156	0.3839895552
157	0.3838627913
158	0.3837321102
159	0.3835726783
160	0.3833717046
161	0.3830777807
162	0.3829776405
163	0.3828439089
164	0.38250766
165	0.3823294592
166	0.382129236
167	0.3819402788
168	0.3817611069
169	0.3815569941
170	0.3813863391
171	0.3811187424
172	0.3808248537
173	0.3806951853
174	0.3804329764
